image_filename,caption,sku,name,price,category,color,material,description,url,full_text_for_summary,summarized_caption
116402_1.webp,"Брюки из струящейся жатой вискозы. Брюки и шорты. Серый. . Брюки из жатой вискозы с тенселом — сочетание комфорта и эстетики современной классики. Ткань с выраженной фактурой создаёт интересную динамику, делая образ живым и запоминающимся. Свободный прямой кр",116402,Брюки из струящейся жатой вискозы,12890,Брюки и шорты,Серый,,"Брюки из жатой вискозы с тенселом — сочетание комфорта и эстетики современной классики. Ткань с выраженной фактурой создаёт интересную динамику, делая образ живым и запоминающимся. Свободный прямой крой и мягкий эластичный пояс позволяют адаптировать эту модель под любые гардеробные задачи. Идеальны для городских будней, офисных дней или творческих вечеров. Эти брюки не сковывают движений, выглядят элегантно и легко вписываются в расслабленный или более собранный гардероб.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_iz_struyashcheysya_zhatoy_viskozy/?sku=116402,"Брюки из струящейся жатой вискозы, Брюки и шорты, Серый. Брюки из жатой вискозы с тенселом — сочетание комфорта и эстетики современной классики. Ткань с выраженной фактурой создаёт интересную динамику, делая образ живым и запоминающимся. Свободный прямой крой и мягкий эластичный пояс позволяют адаптировать эту модель под любые гардеробные задачи. Идеальны для городских будней, офисных дней или творческих вечеров. Эти брюки не сковывают движений, выглядят элегантно и легко вписываются в расслабленный или более собранный гардероб.","«Брюки из жатой вискозы с тенселом, серые, свободный прямой крой. Фактурная ткань, мягкий эластичный пояс. Идеальны для города и офиса.»"
118061_1.webp,"Брюки на кулиске из хлопка. Брюки и шорты. Шоколадный. . Брюки из хлопка в шоколадном оттенке — практичная универсальная база для повседневного гардероба. Пояс на кулисе позволяет регулировать посадку точно под себя, что делает брюки особенно удобными. Укор",118061,Брюки на кулиске из хлопка,12890,Брюки и шорты,Шоколадный,,"Брюки из хлопка в шоколадном оттенке — практичная универсальная база для повседневного гардероба. Пояс на кулисе позволяет регулировать посадку точно под себя, что делает брюки особенно удобными. Укороченная длина смотрится свежо и актуально. Брюки легко сочетаются с разнообразными верхами. А в комплекте с рубашкой из той же ткани получится отличный сет для работы в офисе летом. Он будет выглядеть уместно и аккуратно, оставаясь при этом комфортным и легким.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_na_kuliske_iz_khlopka/?sku=118061,"Брюки на кулиске из хлопка, Брюки и шорты, Шоколадный. Брюки из хлопка в шоколадном оттенке — практичная универсальная база для повседневного гардероба. Пояс на кулисе позволяет регулировать посадку точно под себя, что делает брюки особенно удобными. Укороченная длина смотрится свежо и актуально. Брюки легко сочетаются с разнообразными верхами. А в комплекте с рубашкой из той же ткани получится отличный сет для работы в офисе летом. Он будет выглядеть уместно и аккуратно, оставаясь при этом комфортным и легким.","«Брюки на кулиске из хлопка, шоколадные. Регулируемый пояс, укороченная длина. Практичны и удобны, сочетаются с разными верхами, в том числе с рубашкой из той же ткани.»"
108468_1.webp,Брюки в пижамном стиле с шелком. Брюки и шорты. Молочный. . Брюки из атласной ткани с шелком в нежный цветочный принт сделают трендовым даже повседневный образ. Их можно носить с базовыми трикотажными топами или дополнять романтичными блузами.,108468,Брюки в пижамном стиле с шелком,11890,Брюки и шорты,Молочный,,Брюки из атласной ткани с шелком в нежный цветочный принт сделают трендовым даже повседневный образ. Их можно носить с базовыми трикотажными топами или дополнять романтичными блузами.,https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_v_pizhamnom_stile_s_shelkom/?sku=108468,"Брюки в пижамном стиле с шелком, Брюки и шорты, Молочный. Брюки из атласной ткани с шелком в нежный цветочный принт сделают трендовым даже повседневный образ. Их можно носить с базовыми трикотажными топами или дополнять романтичными блузами.","«Брюки в пижамном стиле из атласной ткани с шёлком и нежным цветочным принтом, молочные — создадут трендовый образ с трикотажными топами или романтичными блузами.»"
117316_1.webp,"Брюки широкие с эластичным поясом из хлопка. Брюки и шорты. Серый. . Брюки свободного силуэта из лёгкого, «шелестящего» хлопка с заметной фактурой. Он как будто «помят», но в этом есть его характер и преимущество легкости ухода. Эластичный пояс мягко фиксирует на талии",117316,Брюки широкие с эластичным поясом из хлопка,12890,Брюки и шорты,Серый,,"Брюки свободного силуэта из лёгкого, «шелестящего» хлопка с заметной фактурой. Он как будто «помят», но в этом есть его характер и преимущество легкости ухода. Эластичный пояс мягко фиксирует на талии, широкие брючины делают шаг свободнее, а спокойный серый оттенок позволяет им быть чем угодно: основой, акцентом, тихим фоном для рубашки, топа или мягкого трикотажа.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_s_elastichnym_poyasom_iz_khlopka/?sku=117316,"Брюки широкие с эластичным поясом из хлопка, Брюки и шорты, Серый. Брюки свободного силуэта из лёгкого, «шелестящего» хлопка с заметной фактурой. Он как будто «помят», но в этом есть его характер и преимущество легкости ухода. Эластичный пояс мягко фиксирует на талии, широкие брючины делают шаг свободнее, а спокойный серый оттенок позволяет им быть чем угодно: основой, акцентом, тихим фоном для рубашки, топа или мягкого трикотажа.","«Широкие брюки из хлопка с эластичным поясом, серого цвета. Свободный силуэт, лёгкая фактурная ткань. Спокойный серый оттенок.»"
117350_1.webp,"Брюки широкие из хлопка Pima. Брюки и шорты. Светло-жёлтый. . Брюки из хлопка пима, в которых удобно прожить весь день — от утреннего кофе до неспешной прогулки вечером. Мягкая и дышащая ткань приятна коже и комфортно ощущается в течении всего дня. Свободный сил",117350,Брюки широкие из хлопка Pima,13890,Брюки и шорты,Светло-жёлтый,,"Брюки из хлопка пима, в которых удобно прожить весь день — от утреннего кофе до неспешной прогулки вечером. Мягкая и дышащая ткань приятна коже и комфортно ощущается в течении всего дня. Свободный силуэт и эластичный пояс создают расслабленную посадку и не сковывают движения. А свежий сливочный оттенок добавляет образу лёгкости и становится базой гардероба. Брюки можно сочетать с рубашками, топами и лёгким трикотажем.Хлопок Pima (Пима)— это премиальный материал, созданный из длинноволокнистого сорта хлопка. Ткань отличается мягкостью, повышенной износостойкостью и устойчивостью к образованию пиллей.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_iz_khlopka_pima/?sku=117350,"Брюки широкие из хлопка Pima, Брюки и шорты, Светло-жёлтый. Брюки из хлопка пима, в которых удобно прожить весь день — от утреннего кофе до неспешной прогулки вечером. Мягкая и дышащая ткань приятна коже и комфортно ощущается в течении всего дня. Свободный силуэт и эластичный пояс создают расслабленную посадку и не сковывают движения. А свежий сливочный оттенок добавляет образу лёгкости и становится базой гардероба. Брюки можно сочетать с рубашками, топами и лёгким трикотажем.Хлопок Pima (Пима)— это премиальный материал, созданный из длинноволокнистого сорта хлопка. Ткань отличается мягкостью, повышенной износостойкостью и устойчивостью к образованию пиллей.","«Широкие брюки из премиального хлопка Pima, светло-жёлтые. Свободный силуэт и эластичный пояс. Комфортные, не сковывают движения. Сочетаются с рубашками, топами и трикотажем.»"
114823_1.webp,Брюки без пояса. Брюки и шорты. Серый. . Брюки прямого силуэта без пояса - непривычный и актуальный сегодня элемент. Лёгкая свобода в крое сохраняет комфорт и ощущение собранности. Универсальная база для любых сочетаний.,114823,Брюки без пояса,13890,Брюки и шорты,Серый,,Брюки прямого силуэта без пояса - непривычный и актуальный сегодня элемент. Лёгкая свобода в крое сохраняет комфорт и ощущение собранности. Универсальная база для любых сочетаний.,https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_bez_poyasa/?sku=114823,"Брюки без пояса, Брюки и шорты, Серый. Брюки прямого силуэта без пояса - непривычный и актуальный сегодня элемент. Лёгкая свобода в крое сохраняет комфорт и ощущение собранности. Универсальная база для любых сочетаний.","«Прямые брюки без пояса, серые — комфортная универсальная модель для любых сочетаний.»"
114689_1.webp,"Брюки широкие из тенсела и хлопка. Брюки и шорты. Чёрный. . Широкие брюки со средней посадкой выполнены из мягкого хлопка с тенселом. Складки по передней части хорошо корректируют зону живота, а резинка по задней половинке обеспечивает удобную посадку. Сочетан",114689,Брюки широкие из тенсела и хлопка,13890,Брюки и шорты,Чёрный,,"Широкие брюки со средней посадкой выполнены из мягкого хлопка с тенселом. Складки по передней части хорошо корректируют зону живота, а резинка по задней половинке обеспечивает удобную посадку. Сочетание классического кроя и расслабленного материала делает эти брюки идеальными для повседневных образов, когда важно оставаться собранным, но не хочется жертвовать комфортом.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_iz_tensela_i_khlopka/?sku=114689,"Брюки широкие из тенсела и хлопка, Брюки и шорты, Чёрный. Широкие брюки со средней посадкой выполнены из мягкого хлопка с тенселом. Складки по передней части хорошо корректируют зону живота, а резинка по задней половинке обеспечивает удобную посадку. Сочетание классического кроя и расслабленного материала делает эти брюки идеальными для повседневных образов, когда важно оставаться собранным, но не хочется жертвовать комфортом.","«Широкие брюки из хлопка с тенселом, чёрные, со средней посадкой и складками. Резинка сзади обеспечивает удобную посадку. Подходят для повседневных образов.»"
110762_1.webp,"Брюки мужского кроя. Брюки и шорты. Чёрный. . Классические брюки мужского кроя, выполненные из ткани с шерстью и вискозой. Материал имеет благородный блеск и отлично держит форму. Чёрный цвет и строгие линии делают эти брюки универсальной основой",110762,Брюки мужского кроя,9723,Брюки и шорты,Чёрный,,"Классические брюки мужского кроя, выполненные из ткани с шерстью и вискозой. Материал имеет благородный блеск и отлично держит форму. Чёрный цвет и строгие линии делают эти брюки универсальной основой гардероба для офиса и повседневных образов.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_muzhskogo_kroya_1/?sku=110762,"Брюки мужского кроя, Брюки и шорты, Чёрный. Классические брюки мужского кроя, выполненные из ткани с шерстью и вискозой. Материал имеет благородный блеск и отлично держит форму. Чёрный цвет и строгие линии делают эти брюки универсальной основой гардероба для офиса и повседневных образов.","«Брюки мужского кроя, чёрные, из шерсти и вискозы. Материал с блеском, держит форму. Подходят для офиса и повседневных образов.»"
85216_1.webp,Брюки широкие со складками. Брюки и шорты. Серо-голубой. . Широкие брюки с высокой посадкой на талии и декоративными складками по передней части. Складки делают образ структурированным и добавляют визуальных акцентов образу.,85216,Брюки широкие со складками,8610,Брюки и шорты,Серо-голубой,,Широкие брюки с высокой посадкой на талии и декоративными складками по передней части. Складки делают образ структурированным и добавляют визуальных акцентов образу.,https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_so_skladkami/?sku=85216,"Брюки широкие со складками, Брюки и шорты, Серо-голубой. Широкие брюки с высокой посадкой на талии и декоративными складками по передней части. Складки делают образ структурированным и добавляют визуальных акцентов образу.","«Широкие брюки с высокой посадкой и декоративными складками, серо-голубые — структурируют образ.»"
96409_1.webp,"Брюки прямого кроя. Брюки и шорты. Бежевый. . Брюки прямого кроя обладают комфортной посадкой ниже линии талии. Они подчеркивают фигуру и создают скульптурный силуэт, при этом обеспечивая свободу движения.",96409,Брюки прямого кроя,7734,Брюки и шорты,Бежевый,,"Брюки прямого кроя обладают комфортной посадкой ниже линии талии. Они подчеркивают фигуру и создают скульптурный силуэт, при этом обеспечивая свободу движения.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_pryamogo_kroya/?sku=96409,"Брюки прямого кроя, Брюки и шорты, Бежевый. Брюки прямого кроя обладают комфортной посадкой ниже линии талии. Они подчеркивают фигуру и создают скульптурный силуэт, при этом обеспечивая свободу движения.","«Прямые брюки бежевого цвета, посадка ниже талии — подчёркивают фигуру и создают скульптурный силуэт.»"
96275_1.webp,"Брюки широкие с эластичным поясом. Брюки и шорты. Тауп. . Любимая модель широких брюк с поясом на мягкой резинке. Идеально сочетаются как со строгими, так и с более расслабленными комплектами.",96275,Брюки широкие с эластичным поясом,11112,Брюки и шорты,Тауп,,"Любимая модель широких брюк с поясом на мягкой резинке. Идеально сочетаются как со строгими, так и с более расслабленными комплектами.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_s_elastichnym_poyasom_/?sku=96275,"Брюки широкие с эластичным поясом, Брюки и шорты, Тауп. Любимая модель широких брюк с поясом на мягкой резинке. Идеально сочетаются как со строгими, так и с более расслабленными комплектами.","«Широкие брюки с эластичным поясом, тауп — сочетаются со строгими и расслабленными комплектами.»"
112289_1.webp,Брюки широкие из атласной ткани. Брюки и шорты. Шоколадный. . Широкие брюки из струящейся ткани с мягким поясом на резинке. Актуальный шоколадный оттенок и полная длина делают образ расслабленным и богемным.,112289,Брюки широкие из атласной ткани,14890,Брюки и шорты,Шоколадный,,Широкие брюки из струящейся ткани с мягким поясом на резинке. Актуальный шоколадный оттенок и полная длина делают образ расслабленным и богемным.,https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_iz_atlasnoy_tkani/?sku=112289,"Брюки широкие из атласной ткани, Брюки и шорты, Шоколадный. Широкие брюки из струящейся ткани с мягким поясом на резинке. Актуальный шоколадный оттенок и полная длина делают образ расслабленным и богемным.","«Широкие брюки из атласной ткани, шоколадного цвета. Струящаяся ткань, мягкий пояс на резинке — создают расслабленный и богемный образ.»"
105179_1.webp,"Брюки прямого кроя. Брюки и шорты. Бежевый. . Брюки прямого кроя обладают комфортной посадкой ниже линии талии. Они подчеркивают фигуру и создают скульптурный силуэт, при этом обеспечивая свободу движения.",105179,Брюки прямого кроя,13890,Брюки и шорты,Бежевый,,"Брюки прямого кроя обладают комфортной посадкой ниже линии талии. Они подчеркивают фигуру и создают скульптурный силуэт, при этом обеспечивая свободу движения.",https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_pryamogo_kroya/?sku=105179,"Брюки прямого кроя, Брюки и шорты, Бежевый. Брюки прямого кроя обладают комфортной посадкой ниже линии талии. Они подчеркивают фигуру и создают скульптурный силуэт, при этом обеспечивая свободу движения.","«Прямые брюки бежевого цвета, посадка ниже талии — подчёркивают фигуру и создают скульптурный силуэт.»"
